customer_id,name,email,country
1,Customer 1,customer1@example.com,Canada
2,Customer 2,customer2@example.com,USA
3,Customer 3,customer3@example.com,Canada
4,Customer 4,customer4@example.com,India
5,Customer 5,customer5@example.com,India
6,Customer 6,customer6@example.com,India
7,Customer 7,customer7@example.com,Australia
8,Customer 8,customer8@example.com,Canada
9,Customer 9,customer9@example.com,France
10,Customer 10,customer10@example.com,Germany
11,Customer 11,customer11@example.com,Canada
12,Customer 12,customer12@example.com,Germany
13,Customer 13,customer13@example.com,Germany
14,Customer 14,customer14@example.com,Australia
15,Customer 15,customer15@example.com,Canada
16,Customer 16,customer16@example.com,Australia
17,Customer 17,customer17@example.com,Japan
18,Customer 18,customer18@example.com,Australia
19,Customer 19,customer19@example.com,USA
20,Customer 20,customer20@example.com,India
21,Customer 21,customer21@example.com,France
22,Customer 22,customer22@example.com,India
23,Customer 23,customer23@example.com,France
24,Customer 24,customer24@example.com,USA
25,Customer 25,customer25@example.com,UK
26,Customer 26,customer26@example.com,Japan
27,Customer 27,customer27@example.com,India
28,Customer 28,customer28@example.com,India
29,Customer 29,customer29@example.com,Germany
30,Customer 30,customer30@example.com,UK
31,Customer 31,customer31@example.com,India
32,Customer 32,customer32@example.com,France
33,Customer 33,customer33@example.com,Japan
34,Customer 34,customer34@example.com,Australia
35,Customer 35,customer35@example.com,France
36,Customer 36,customer36@example.com,Canada
37,Customer 37,customer37@example.com,Japan
38,Customer 38,customer38@example.com,Japan
39,Customer 39,customer39@example.com,Japan
40,Customer 40,customer40@example.com,USA
41,Customer 41,customer41@example.com,Australia
42,Customer 42,customer42@example.com,France
43,Customer 43,customer43@example.com,Canada
44,Customer 44,customer44@example.com,Australia
45,Customer 45,customer45@example.com,France
46,Customer 46,customer46@example.com,France
47,Customer 47,customer47@example.com,Canada
48,Customer 48,customer48@example.com,Australia
49,Customer 49,customer49@example.com,France
50,Customer 50,customer50@example.com,Australia
51,Customer 51,customer51@example.com,USA
52,Customer 52,customer52@example.com,Australia
